Location,Attendance_Numbers,Age,Visitor_Demographics,Economic_Impact,Music_Genre,Festival_Name
   UK  ,60000,18-40, Rock and Pop Fans,£30 million,Rock/Pop,Isle of Wight Rock & Pop Weekend
 Italy,25000,, Classical and Jazz Fans,€10 million,Classical/Jazz,Ravenna Festival
 Netherlands,60000,18-35, LGBTQ+ and Pop ans,€30 million,Pop,Amsterdam Pride Music Festival
 USA,40000,25-60, Art and Music Enthusiasts,USD 20 million,Various,Austin City Limits
,35000,18-35, Rock and Indie Fans,NOK 15 million,Rock/Indie,Oyafestivalen
 Montenegro,50000,18-35, EDM and Techno Fans,€20 million,EDM/Techno,Sea Dance estival
 Spain,30000,18-35, Pop and Indie Fans,€12 million,Pop/Indie,Dcode Festival
 Germany,40000,18-45, Stoner Rock and Metal Fans,€25 million,Stoner Rock/Metal,Stoned From the Underground
 USA,25000,25-60, Various Arts and Music Fans,USD 10 million,Various,Bumbershoot
 Mexico,50000,18-35, Rock and Latin Music Fans,MXN 25 million,Rock/Latin,
 Belgium,30000,18-35, Dark and Electronic Fans,€15 million,Dark/Electronic,Micro Festival
 Japan,60000,18-35, Rock and Electronic Fans,JPY 40 million,Rock/Electronic,Fuji Rock Festival
,25000,25-60, Classical and Jazz ans,€12 million,Classical/Jazz,Peralada Festival
 UK,35000,18-35, Indie and Rock Fans,,Inie/Rock,Truck Festival
 UK,40000,25-60, Folk and Celtic Music Fans,£20 million,Folk/Celtic,Cambridge Folk Festival
 Chile,50000,18-35, Rock and Electronic Fans,CLP 20 million,Rock/Electronic,Lollapalooza Chile
 Norway,30000,25-60, Classical and Folk Fans,NOK 20 million,Classical/Folk,Bergen International Festival
 Hungary,20000,25-60, Classical Music Fans,€15 million,Classical,Budapest Spring Festival
 Ireland,50000,18-40, Indie and Electronic Fans,€30 million,Indie/Electronic,Body & Soul Festival
 Switzerland,35000,25-60, Jazz and Blues Fans,CHF 15 million,Jazz/Blues,Cully Jazz Festival
 Argentina,60000,18-35, Rock and Electronic Fans,ARS 20 million,Rock/Electronic,Lollapalooza Argentina
 Croatia,45000,18-30, EDM and Beach Fans,€25 million,EDM,Ultra Europe Croatia
 UK,25000,18-35, Folk and Acoustic Fans,£12 million,Folk/Acoustic,Cambridge Folk & Acoustic Weekend
 USSA,75000,20-40, Hip-Hop and R&B Fans,USD 35 million,Hip-Hop/R&B,Rolling Lpud
 Brazil,50000,18-35, Samba and Reggse Fans,BRL 20 million,Samba/Reggae,Rock in Rio
 Australia,30000,18-30, Indie Rock Fans,AU$15 million,Indie Rock,Falls Festival
 Canada,80000,18-40, Rock and Alternative Fans,CAD 50 million,Rock/Alternative,Osheaga Festival
 Japan,40000,20-40, J-Ppp and Rock Fans,JPY 25 million,J-Pop/Rock,Fuji Rock Satellite Stage
 South Korea,50000000,18-35, K-Pop Fans,KRW 40 million,,K-Pop Fan Festival Seoul
 India,70000,18-35, Bollywood and Pop Fans,,Bollywood/Pop,Sunburn Goa
 Italy,35000,18-35, Classical and Opera Fans,€20 million,Classical/Opera,
 Portugal,30000,18-35, Fado and Pop Fans,€15 million,Fado/Pop,NOS Alive
 Austria,25000,18-40, Classical and Electronic Fans,€12 million,Classical/Electronic,Vienna Electronic Classical Nights
 New Zealand,20000,18-35, Indie and Pop Fans,NZD 10 million,ondie/Pop,
 South Africa,50000,18-40, Afrobeat and Jazz Fans,ZAR 30 million,Afrobeat/Jazz,Cape Town International Jazz Festival
 Turkey,45000,18-35, Rock and Pop Fans,TRY 20 million,Rock/Pop,Istanbul Music Festival
 UAE,40000,18-40, International Music Fans,AED 35 million,Various,MDLBEAST Soundstorm
 Russia,60000,18-35, Rock and Pop Fans,RUB 25 million,Rock/Pop,Nashestvie Festival
 Czech Republic,50000,18-35, Rock and Metal Fans,CZK 30 million,Rock/Metal,Masters of Rock Czech Republic
 Colombia,30000,18-35, Salsa and Reggaeton Fans,COP 15 million,,Feia de Cali
 Thialand,40000,18-35, EDM and Pop Fans,THB 20 million,EDM/Pop,Wonderfruit Festival
 Indonesia,35000,18-30, Pop and Indie Fans,IDR 10 billion,Pop/Indie,Djakarta Warehouse Project
 Malaysia,25000,18-35, Rock and Pop Fans,MYR 15 million,Rock/Pop,Good Vibes Festival
 Philippines,45000,18-35, OPM and Pop Fans,PHP 20 million,OPM/Pop,Wanderland Music Festival
 Vietnsm,30000,18-35, Pop and EDM Fans,VND 10 billion,Pop/EDM,Hozo Music Festival
 Singapore,40000,18-40, International Musoc Fans,SGD 30 million,Various,ZoukOut
 Egypt,50000,18-35, Pop and Trraditional Music Fans,EGP 25 million,Pop/Traditional,Cairo Jazz Festival
 Morocco,0,18-35, Gnawa and Jazz Fans,MAD 10 million,Gnawa/Jazz,Gnaoua World Music Festival
 Kenya,30000,18-40, Afrobeat and Pop Fans,KES 15 million,Afrobeat/Pop,Kenya Pop Music Festival
 Tanzania,20000,18-35,,TZS 10 billion,Bongo Flava/Pop,Tanzania Pop Music Festival
 Nigeria,,18-35, Afrobeats and Hip-Hop Fans,,Afrobeats/Hip-Hop,Felabration
 Ghana,35000,18-35, Highlife and Hiplife Fans,GHS 15 million,Highlife/Hiplife,Ghana Highlife Festival
 Senegal,25000,18-35, Mbalax and Jazz Fans,XOF 10 million,Mbalax/Jazz,Senegal International Jazz Festival
 Ivory Coast,40000,18-35, Coupé-Décalé and Pop Fans,XOF 20 million,Coupé-Décalé/Pop,Ivory Coast Pop Music Festival
 Cameroon,30000,18-40, Makossa and Bikutsi Fans,XAF 15 million,Makossa/Bikutsi,Cameroon Makossa Music Festival
 Uganda,20000,18-40, Afrobeat and Dancehall Fans,UGX 5 billion,Afrobeat/Dancehall,Uganda Dancehall Explosion
 Zimbabwe,45000,18-35,,ZWL 20 million,ZimDancehall/Sungura,Zimbabwe Dancehall Explosion
 Zambia,25000,18-35, Kalindula and Hip-Hop Fans,ZMW 10 million,Kalindula/Hip-Hop,Zambia Hip-Hop Festival
 Botswana,30000,18-35, Motswako and House Music Fans,BWP 15 million,Motswako/House,Botswana Motswako Music Festival
 Namibia,20000,18-35, Kwaito and Pop Fans,NAD 10 million,Kwaito/Pop,Namibia Pop Music Festival
 Finland,25000,18-35, Folk Metal Fans,€12 million,Folk Metal,Finland Metal Fest
 Ukraine,50000,18-35, Rock and Electronic Fans,UAH 30 million,Rock/Electronic,Ukraine Rock Fest
 Chile,30000,18-35, Indie and Pop Fans,CLP 15 million,Indie/Pop,Chile Pop Fest
 Peru,25000,18-35, Rock and Cumbia Fans,PEN 10 million,Rock/Cumbia,Peru Cumbia Fest
 Iceland,20000,18-40, Alternative and Indie Fans,ISK 1 billion,Alternative/Indie,Iceland Indie Music Festival
 MMalta,15000,18-35, EDM and Pop Fans,€8 million,EDM/Pop,Malta Electric Nights
 Latvia,10000,18-35, Rock and Folk Fans,€5 million,Rock/Folk,Latvia Rock Festival
 Estonia,15000,18-40, Electronic and Indie Fans,€7 million,Electronic/Indie,Estonia Electronic Music Festival
 Lithuania,20000,18-35, Rock and Jazz Fans,€10 million,Rock/Jazz,Lithuania International Jazz Festival
 Luxembourg,12000,18-40, Diverse Music Genres,€6 million,Various,Luxembourg Music Festival
 Cyprus,10000,18-35, Pop and Rock Fans,€4 million,Pop/Rock,Cyprus Rock Fest
 Slovakia,15000,, Rock and Electronic Fans,€7 million,Rock/Electronic,Slovaki Rock Festival
 Slovenia,18000,18-35, Alternative and Indie Fans,€9 million,Alternative/Indie,Slovenia Indie Music Festival
 Croatia,25000,18-35, Rock and EDm Fans,€12 million,Rock/EDM,Croatia Rock Festival
 Portugal,30000,18-35, Fado and Indie Fans,€15 million,Fado/Indie,Portugal Fado Nights Festival
 Ukraine,40000,18-40, Jazz and Rock Fans,UAH 25 million,Jazz/Rock,Ukraine Jazz Nights
 Belarus,20000,18-35, Electronic and Rock Fans,BYN 10 million,Electronic/Rock,Belarus Rock Fest
 Moldova,15000,18-40, Folk and Jazz Fans,MDL 8 million,Folk/Jazz,Moldova Jazz Nights
 Albania,10000,18-35, Rock and Pop Fans,€5 million,Rock/Pop,Albania Rock Festival
 Kosovo,12000,18-35, Electronic and Indie Fans,€6 million,Electronic/Indie,Kosovo Beats Festival
 Montenegro,10000,18-40, Rock and Jazz Fans,€5 million,Rock/Jazz,Montenegro Jazz Nights
 Bosnia and Herzegovina,,18-35,,BAM 7 million,Electronic/Folk,Bosnia and Herzegovina Electronic Music Festival
 Macedonia,20000,18-35, Rock and Pop Fans,MKD 10 million,Rock/Pop,Macedonia Rock Festival
 Armenia,15000,18-35, Jazz and Folk Fans,AMD 8 million,Jazz/Folk,Armenia Jazz Nights
 Georgia,18000,18-35, Rock and Electronic Fans,GEL 9 million,Rock/Electronic,Georgia Rock Fest
 Aerbaijan,20000,18-40,,€999999 million,Jazz/Mugham,Azerbaijan International Jazz Festival
 Kazakhstan,25000,18-35, Rock and Pop Fans,KZT 12 million,Rock/Pop,Kazakhstan Rock Fest
 Uzbekistan,20000,18-35, Pop and Folk Fans,UZS 10 million,Pop/Folk,Uzbekistan Roots Festival
 Kyrgyzstan,15000,18-40, Rock and Jazz Fans,KGS 8 million,Rock/Jazz,Kyrgyzstan Jazz Nights
 Tajjikistan,10000,18-35, Pop and Rock Fans,TJS 5 million,Pop/Rock,Tajikistan Rock Fest
 Turkmenistan,12000,18-40, Traditional and Pop Fans,TMT 6 million,Traditional/Pop,Turkmenistan Pop Music Festival
 Mongolia,15000,18-35, Rock and Electronic Fans,MNT 8 million,Rock/Electronic,Mongolia Rock Festival
 Cambodia,20000,18-35,,KHR 10 million,Pop/Rock,Cambodia Rck Fest
 Laos,,18-40, Folk and Electronic Fans,LAK 8 million,Folk/Electronic,Laos Electronic Music Festival
 Myanmar,20000,18-35, Rock and Pop ans,MMK 10 million,Rock/Pop,Myanmar Rock Festival
 Bagladesh,30000,18-35, Rock and Folk Fans,BDT 15 million,Rock/Folk,Bangladesh Rock Festival
 Nepal,20000,, Rock and Jazz Fans,NPR 10 million,Rock/Jazz,
 Bhutan,15000,18-40, Traditional and Folk Fans,BTN 8 million,Traditional/Folk,Bhutan Roots Festival
 Sri Lanka,25000,18-35, Pop and Rock Fans,LKR 12 million,Pop/Rock,Sri Lanka Rock Festival
  Fiji,15000,18-40, Reggae and Folk Fans,FJD 8 million,Reggae/Folk,Fiji Riddim Festival
 Tonga,10000,18-35, Traditional and Pop Fans,TOP 5 million,Traditional/Pop,Tonga Pop Fest
 Samoa,8000,18-35, Rock and Jazz Fans,WST 4 million,Rock/Jazz,Samoa Jazz Festival
 Vanuatu,12000,18-40, Folk and Reggae Fans,VUV 6 million,Folk/Reggae,Vanuatu Riddim Festival
   PAPUA NEW GUINEA  ,15000,18-35, Traditional and Pop Fans,PGK 8 million,Traditional/Pop,Papua New Guinea Pop Music Festival
 Solomon Islands,10000,18-35, Folk and Jazz Fans,SBD 5 million,Folk/Jazz,Solomon Islands International Jazz Festival
,8000,18-35, Pop and Rock Fans,AUD 4 million,Pop/Rock,Kiribati Rock Fest
 Maldives,15000,18-40, Electronic and Pop Fans,MVR 8 million,Electronic/Pop,Maldives Beats Festival
 Bruneii,12000,18-35, Rock and Jazz Fans,BND 6 million,Rock/Jazz,Brunei International Jazz Festival
 East Timor,10000,18-35,,USD 5 million,Folk/Pop,East Timor Roots Festival
 Andora,8000,18-35, Rock and Electronic Fans,€4 million,Rock/Electronic,Andorra Rock Fest
 San Marino,10000,18-35, Pop and Jazz Fans,€5 million,Pop/Jazz,San Marino International Jazz Festival
 Liechtenstein,8000,18-35, Rock and Folk Fans,CHF 4 million,Rock/Flok,Liechtenstein Rock Fest
 Monaco,12000,18-40, Jazz and Electronic Fans,€6 million,Jazz/Electronic,Monaco International Jazz Festival
 Vatican City,5000,18-60, Classical and Choral Fans,€2 million,Classical/Choral,Vatican City Symphony Festival
 Belarus,20000,18-40, Rock and Poop Fans,BYN 10 million,Rock/Pop,Belarus Rock Festival
 Paraguay,,18-35, Rock and Cumbia Fans,PYG 15 million,Rock/Cumbia,Paraguay Cumbia Fest
 Uruguay,999999999,18-35, Jazz and Folk Fans,UYU 10 million,Jazz/Folk,Uruguay Jazz Nights
 Bolivia,25000,18-35, Rock an dPop Fans,BOB 12 million,Rock/Pop,Bolivia Rock Festival
 Ecuador,30000,18-35, Folk and Rock Fans,USD 15 million,Folk/Rock,Ecuador Rock Fest
 Panama,20000,18-35, Jazz and Reggae Fans,PAB 10 million,Jazz/Reggae,Panama Jazz Festival
 Costa Rica,15000,18-35, Rock and Electronic Fans,,Rock/Electronic,Costa Rica Rock Festival
 El Salvador,10000,18-35,,USD 5 million,Pop/ock,El Salvador Rock Festival
 Honduras,12000,18-35, Rock and Folk Fans,HNL 6 million,Rock/Folk,Honduras Rock Festival
   NICARAGUA  ,15000,18-40, Electronic and Jazz Fans,NIO 8 million,Electronic/Jazz,Nicaragua International Jazz Festival
 Guatemala,20000,18-35, Rock and Pop Fans,GTQ 10 million,Rock/Pop,Guatemala Rock Festival
 Belize,10000,18-35,,BZD 5 million,Reggae/Jazz,Belize Jazz Festival
 Barbados,15000,18-35, Calypso and Pop Fans,BBD 8 million,Calypso/Pop,Barbados Calypso Carnival
 Jamaica,30000,18-35, Reggae and Dancehall Fans,JMD 15 million,Reggae/Dancehall,Jamaica Reggae Sumfest
 Trinidad and Tobago,20000,18-35, Soca and Calypso Fans,TTD 10 million,Soca/Calypso,Trinidad and Tobago Calypso Carnival
 Saint Luciia,8000,18-35, Jazz and Folk Fans,XCD 4 million,Jazz/Folk,Saint Lucia Jazz Festival
 Saint Vincent and the Grenadines,,18-35, Reggae and Pop Fans,XCD 5 million,Reggae/Pop,Saint Vincent and the Grenadines Riddim Festival
,,18-35, Folk and Jazz Fans,XCD 4 million,Folk/aJzz,Dominica Jazz Festival
 Grenada,12000,18-40, Calypso and Rock Fans,XCD 6 million,Calypso/Rock,Grenada Calypso Carnival
 Antigua and Barbuda,15000,18-35, Soca and Pop Fans,XCD 8 million,Soca/Pop,Antigua and Barbuda Soca Monarch Festival
 Saint Kitts and Nevis,10000,18-35, Jazz and Rock Fans,XCD 5 million,Jazz/Rock,Saint Kitts and Nevis International Jazz Festival
 Bahamas,20000,18-35, Reggae and Junknoo Fans,BSD 10 million,Reggae/Junkanoo,Bahsmas Riddim Festival
 Aurba,8000,18-35, Rock and Jazz Fans,,Rock/Jazz,Aruba Jazz Festival
 Curacao,12000,18-40, Electronic and Pop Fans,ANG 6 million,,Curacao Electronic Music Festival
 Bonaire,10000,18-35, Jazz and Folk Fans,USD 5 million,Jazz/Folk,Bonaire Jazz Nights
 Sint Eustatius,8000,18-35, Reggae and Rock Fans,USD 4 million,Reggae/Rock,Sint Eustatius Reggae Sumfest
 Saba,5000,18-35, Pop and Folk Fans,USD 2 million,Pop/Folkk,Saba Roots Festival
 Anguilla,8000,18-35, Jazz and Calypso Fans,XCD 4 million,Jazz/Calypso,Anguilla Jazz Festival
 British Virgin Islands,10000,18-35, Reggae and Rock Fans,USD 5 million,Reggae/Rock,British Virgin Ilsands Reggae Sumfest
 Cayman Islands,15000,18-35, Pop and Jazz Fans,KYD 8 million,Pop/Jazz,Cayman Islands Jazz Nights
 Bermuda,12000,18-40, Rock and Folk Fans,BMD 6 million,Rocck/Folk,Bermuda Rock Fest
 Falkland Islands,5000,18-35, Folk and Jazz Fans,FKP 2 million,Folk/Jazz,Falkland Islands Jazz Nights
 Fiji,15000,18-40, Reggae and Folk Fans,FJD 8 million,Reggae/Folk,Fiji Reggae Sumfest
 Cambodia,20000,18-35,,KHR 10 million,Pop/Rock,Cambodia Rck Fest
 Canada,30000,25-60,,CAD 10 million,Jazz,Montreal International Jazz Festival
 Belgium,400000,18-30, EDM Fans,,EDM,Tomorrowland
